#	DATOS	Langostino	amarillo	área	norte	2017
#	n	yrs
33
#n	ages
11
#n	tallas																																																
43
#Yrs	desem	cpue	Bcru	ph	cv_desem	cv_CPUE	cv_Cru	cv_ph	n_mf	n_hf	n_mc	n_hc	#																																				
1985	1897	0	0	0.5	0.1	0.15	0.3	0.05	50	50	25	25	#
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.010	0.020	0.040	0.030	0.030	0.060	0.060	0.080	0.060	0.090	0.100	0.080	0.060	0.050	0.040	0.040	0.050	0.030	0.040	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.010	0.020	0.030	0.030	0.050	0.060	0.070	0.070	0.080	0.070	0.080	0.080	0.080	0.080	0.060	0.040	0.030	0.020	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.010	0.020	0.020	0.020	0.040	0.050	0.070	0.090	0.100	0.110	0.110	0.090	0.070	0.070	0.060	0.040	0.010	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.010	0.020	0.050	0.040	0.030	0.050	0.090	0.100	0.130	0.110	0.080	0.080	0.060	0.040	0.030	0.020	0.020	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.020	0.020	0.030	0.040	0.040	0.060	0.060	0.040	0.040	0.060	0.050	0.070	0.060	0.070	0.070	0.060	0.050	0.050	0.050	0.030	0.010	0.010	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.020	0.030	0.050	0.060	0.090	0.080	0.090	0.090	0.100	0.100	0.090	0.090	0.050	0.030	0.010	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.030	0.040	0.040	0.040	0.070	0.060	0.050	0.060	0.080	0.090	0.110	0.100	0.090	0.040	0.030	0.030	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.040	0.060	0.080	0.080	0.060	0.070	0.060	0.060	0.040	0.050	0.090	0.080	0.060	0.050	0.050	0.030	0.020	0.010	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.020	0.030	0.040	0.060	0.070	0.100	0.100	0.120	0.130	0.130	0.080	0.050	0.030	0.010	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.020	0.020	0.080	0.040	0.060	0.050	0.060	0.070	0.080	0.030	0.020	0.030	0.050	0.060	0.060	0.060	0.060	0.040	0.030	0.020	0.010	0.000	0.010	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.005	0.004	0.008	0.009	0.019	0.028	0.026	0.035	0.044	0.055	0.069	0.098	0.112	0.110	0.101	0.100	0.066	0.053	0.029	0.015	0.008	0.003	0.000	0.001	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.004	0.004	0.001	0.003	0.002	0.004	0.006	0.005	0.001	0.001	0.001	0.001	0.004	0.004	0.008	0.012	0.019	0.026	0.036	0.061	0.066	0.105	0.158	0.153	0.123	0.089	0.062	0.022	0.014	0.002	0.001	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.008	0.005	0.007	0.009	0.023	0.026	0.037	0.017	0.015	0.009	0.017	0.020	0.036	0.047	0.106	0.116	0.128	0.138	0.129	0.055	0.016	0.021	0.004	0.004	0.000	0.000	0.000  	0.000							
#	ET	Flota	-	Hembras																																													
0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.020	0.000	0.060	0.020	0.040	0.010	0.090	0.070	0.070	0.120	0.110	0.100	0.060	0.040	0.060	0.010	0.040	0.000	0.010	0.000	0.020	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.020	0.070	0.050	0.060	0.080	0.050	0.130	0.100	0.110	0.060	0.070	0.040	0.030	0.030	0.020	0.020	0.010	0.020	0.020	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							
